============================================================
z_global + minSize (F4, F7, F8)
============================================================
| Point(j,k) | index_z0(j-1) || Point(j,k) | index_z2(j+1) || Point(j,k) | index_z0 && z2  |
| ( 52,  6) |      4.885632 || (252,  5) |      4.129724 || (104,  4) |  4.641, 4.641 |
| ( 52,  7) |      5.948550 || (252,  6) |      5.179355 || (104,  5) |  5.608, 5.608 |
| ( 53,  5) |      4.112823 || (253,  4) |      3.747927 || (105,  4) |  4.641, 4.641 |
| ( 53,  6) |      5.162897 || (253,  5) |      4.763175 || (105,  5) |  5.608, 5.608 |
| ( 54,  5) |      4.401376 || (253,  6) |      5.777569 || (106,  4) |  4.641, 4.641 |
| ( 54,  6) |      5.435239 || (254,  4) |      4.267289 || (106,  5) |  5.608, 5.608 |
| ( 55,  5) |      4.685022 || (254,  5) |      5.254465 || (107,  4) |  4.641, 4.641 |
| ( 55,  6) |      5.703193 || (255,  5) |      5.656233 || (107,  5) |  5.608, 5.608 |
| ( 56,  6) |      5.967264 || (256,  5) |      5.900317 || (108,  4) |  4.641, 4.641 |
|           |               ||           |               || (108,  5) |  5.608, 5.608 |
|           |               ||           |               || (109,  4) |  4.641, 4.641 |
|           |               ||           |               || (109,  5) |  5.608, 5.608 |
|           |               ||           |               || (110,  4) |  4.641, 4.641 |
|           |               ||           |               || (110,  5) |  5.608, 5.608 |
|           |               ||           |               || (111,  4) |  4.641, 4.641 |
|           |               ||           |               || (111,  5) |  5.608, 5.608 |
|           |               ||           |               || (112,  4) |  4.641, 4.641 |
|           |               ||           |               || (112,  5) |  5.608, 5.608 |
|           |               ||           |               || (113,  4) |  4.641, 4.641 |
|           |               ||           |               || (113,  5) |  5.608, 5.608 |
|           |               ||           |               || (114,  4) |  4.641, 4.641 |
|           |               ||           |               || (114,  5) |  5.608, 5.608 |
|           |               ||           |               || (115,  4) |  4.641, 4.641 |
|           |               ||           |               || (115,  5) |  5.608, 5.608 |
|           |               ||           |               || (116,  4) |  4.641, 4.641 |
|           |               ||           |               || (116,  5) |  5.608, 5.608 |
|           |               ||           |               || (117,  4) |  4.641, 4.641 |
|           |               ||           |               || (117,  5) |  5.608, 5.608 |
|           |               ||           |               || (118,  4) |  4.641, 4.641 |
|           |               ||           |               || (118,  5) |  5.608, 5.608 |
|           |               ||           |               || (119,  4) |  4.641, 4.641 |
|           |               ||           |               || (119,  5) |  5.608, 5.608 |
|           |               ||           |               || (120,  4) |  4.641, 4.641 |
|           |               ||           |               || (120,  5) |  5.608, 5.608 |
|           |               ||           |               || (121,  4) |  4.641, 4.641 |
|           |               ||           |               || (121,  5) |  5.608, 5.608 |
|           |               ||           |               || (122,  4) |  4.641, 4.641 |
|           |               ||           |               || (122,  5) |  5.608, 5.608 |
|           |               ||           |               || (123,  4) |  4.641, 4.641 |
|           |               ||           |               || (123,  5) |  5.608, 5.608 |
|           |               ||           |               || (124,  4) |  4.641, 4.641 |
|           |               ||           |               || (124,  5) |  5.608, 5.608 |
|           |               ||           |               || (125,  4) |  4.641, 4.641 |
|           |               ||           |               || (125,  5) |  5.608, 5.608 |
|           |               ||           |               || (126,  4) |  4.641, 4.641 |
|           |               ||           |               || (126,  5) |  5.608, 5.608 |
|           |               ||           |               || (127,  4) |  4.641, 4.641 |
|           |               ||           |               || (127,  5) |  5.608, 5.608 |
|           |               ||           |               || (128,  4) |  4.641, 4.641 |
|           |               ||           |               || (128,  5) |  5.608, 5.608 |
|           |               ||           |               || (129,  4) |  4.641, 4.641 |
|           |               ||           |               || (129,  5) |  5.608, 5.608 |
|           |               ||           |               || (130,  4) |  4.641, 4.641 |
|           |               ||           |               || (130,  5) |  5.608, 5.608 |
|           |               ||           |               || (131,  4) |  4.641, 4.641 |
|           |               ||           |               || (131,  5) |  5.608, 5.608 |
|           |               ||           |               || (132,  4) |  4.641, 4.641 |
|           |               ||           |               || (132,  5) |  5.608, 5.608 |
|           |               ||           |               || (133,  4) |  4.641, 4.641 |
|           |               ||           |               || (133,  5) |  5.608, 5.608 |
|           |               ||           |               || (134,  4) |  4.641, 4.641 |
|           |               ||           |               || (134,  5) |  5.608, 5.608 |
|           |               ||           |               || (135,  4) |  4.641, 4.641 |
|           |               ||           |               || (135,  5) |  5.608, 5.608 |
|           |               ||           |               || (136,  4) |  4.641, 4.641 |
|           |               ||           |               || (136,  5) |  5.608, 5.608 |
|           |               ||           |               || (137,  4) |  4.641, 4.641 |
|           |               ||           |               || (137,  5) |  5.608, 5.608 |
|           |               ||           |               || (138,  4) |  4.641, 4.641 |
|           |               ||           |               || (138,  5) |  5.608, 5.608 |
|           |               ||           |               || (139,  4) |  4.641, 4.641 |
|           |               ||           |               || (139,  5) |  5.608, 5.608 |
|           |               ||           |               || (140,  4) |  4.641, 4.641 |
|           |               ||           |               || (140,  5) |  5.608, 5.608 |
|           |               ||           |               || (141,  4) |  4.641, 4.641 |
|           |               ||           |               || (141,  5) |  5.608, 5.608 |
|           |               ||           |               || (142,  4) |  4.641, 4.641 |
|           |               ||           |               || (142,  5) |  5.608, 5.608 |
|           |               ||           |               || (143,  4) |  4.641, 4.641 |
|           |               ||           |               || (143,  5) |  5.608, 5.608 |
|           |               ||           |               || (144,  4) |  4.641, 4.641 |
|           |               ||           |               || (144,  5) |  5.608, 5.608 |
|           |               ||           |               || (145,  4) |  4.641, 4.641 |
|           |               ||           |               || (145,  5) |  5.608, 5.608 |
|           |               ||           |               || (146,  4) |  4.641, 4.641 |
|           |               ||           |               || (146,  5) |  5.608, 5.608 |
|           |               ||           |               || (147,  4) |  4.641, 4.641 |
|           |               ||           |               || (147,  5) |  5.608, 5.608 |
|           |               ||           |               || (148,  4) |  4.641, 4.641 |
|           |               ||           |               || (148,  5) |  5.608, 5.608 |
|           |               ||           |               || (149,  4) |  4.641, 4.641 |
|           |               ||           |               || (149,  5) |  5.608, 5.608 |
|           |               ||           |               || (150,  4) |  4.641, 4.641 |
|           |               ||           |               || (150,  5) |  5.608, 5.608 |
|           |               ||           |               || (151,  4) |  4.641, 4.641 |
|           |               ||           |               || (151,  5) |  5.608, 5.608 |
|           |               ||           |               || (152,  4) |  4.641, 4.641 |
|           |               ||           |               || (152,  5) |  5.608, 5.608 |
|           |               ||           |               || (153,  4) |  4.641, 4.641 |
|           |               ||           |               || (153,  5) |  5.608, 5.608 |
|           |               ||           |               || (154,  4) |  4.641, 4.641 |
|           |               ||           |               || (154,  5) |  5.608, 5.608 |
|           |               ||           |               || (155,  4) |  4.641, 4.641 |
|           |               ||           |               || (155,  5) |  5.608, 5.608 |
|           |               ||           |               || (156,  4) |  4.641, 4.641 |
|           |               ||           |               || (156,  5) |  5.608, 5.608 |
|           |               ||           |               || (157,  4) |  4.641, 4.641 |
|           |               ||           |               || (157,  5) |  5.608, 5.608 |
|           |               ||           |               || (158,  4) |  4.641, 4.641 |
|           |               ||           |               || (158,  5) |  5.608, 5.608 |
|           |               ||           |               || (159,  4) |  4.641, 4.641 |
|           |               ||           |               || (159,  5) |  5.608, 5.608 |
|           |               ||           |               || (160,  4) |  4.641, 4.641 |
|           |               ||           |               || (160,  5) |  5.608, 5.608 |
|           |               ||           |               || (161,  4) |  4.641, 4.641 |
|           |               ||           |               || (161,  5) |  5.608, 5.608 |
|           |               ||           |               || (162,  4) |  4.641, 4.641 |
|           |               ||           |               || (162,  5) |  5.608, 5.608 |
|           |               ||           |               || (163,  4) |  4.641, 4.641 |
|           |               ||           |               || (163,  5) |  5.608, 5.608 |
|           |               ||           |               || (164,  4) |  4.641, 4.641 |
|           |               ||           |               || (164,  5) |  5.608, 5.608 |
|           |               ||           |               || (165,  4) |  4.641, 4.641 |
|           |               ||           |               || (165,  5) |  5.608, 5.608 |
|           |               ||           |               || (166,  4) |  4.641, 4.641 |
|           |               ||           |               || (166,  5) |  5.608, 5.608 |
|           |               ||           |               || (167,  4) |  4.641, 4.641 |
|           |               ||           |               || (167,  5) |  5.608, 5.608 |
|           |               ||           |               || (168,  4) |  4.641, 4.641 |
|           |               ||           |               || (168,  5) |  5.608, 5.608 |
|           |               ||           |               || (169,  4) |  4.641, 4.641 |
|           |               ||           |               || (169,  5) |  5.608, 5.608 |
|           |               ||           |               || (170,  4) |  4.641, 4.641 |
|           |               ||           |               || (170,  5) |  5.608, 5.608 |
|           |               ||           |               || (171,  4) |  4.641, 4.641 |
|           |               ||           |               || (171,  5) |  5.608, 5.608 |
|           |               ||           |               || (172,  4) |  4.641, 4.641 |
|           |               ||           |               || (172,  5) |  5.608, 5.608 |
|           |               ||           |               || (173,  4) |  4.641, 4.641 |
|           |               ||           |               || (173,  5) |  5.608, 5.608 |
|           |               ||           |               || (174,  4) |  4.641, 4.641 |
|           |               ||           |               || (174,  5) |  5.608, 5.608 |
|           |               ||           |               || (175,  4) |  4.641, 4.641 |
|           |               ||           |               || (175,  5) |  5.608, 5.608 |
|           |               ||           |               || (176,  4) |  4.641, 4.641 |
|           |               ||           |               || (176,  5) |  5.608, 5.608 |
|           |               ||           |               || (177,  4) |  4.641, 4.641 |
|           |               ||           |               || (177,  5) |  5.608, 5.608 |
|           |               ||           |               || (178,  4) |  4.641, 4.641 |
|           |               ||           |               || (178,  5) |  5.608, 5.608 |
|           |               ||           |               || (179,  4) |  4.641, 4.641 |
|           |               ||           |               || (179,  5) |  5.608, 5.608 |
|           |               ||           |               || (180,  4) |  4.641, 4.641 |
|           |               ||           |               || (180,  5) |  5.608, 5.608 |
|           |               ||           |               || (181,  4) |  4.641, 4.641 |
|           |               ||           |               || (181,  5) |  5.608, 5.608 |
|           |               ||           |               || (182,  4) |  4.641, 4.641 |
|           |               ||           |               || (182,  5) |  5.608, 5.608 |
|           |               ||           |               || (183,  4) |  4.641, 4.641 |
|           |               ||           |               || (183,  5) |  5.608, 5.608 |
|           |               ||           |               || (184,  4) |  4.641, 4.641 |
|           |               ||           |               || (184,  5) |  5.608, 5.608 |
|           |               ||           |               || (185,  4) |  4.641, 4.641 |
|           |               ||           |               || (185,  5) |  5.608, 5.608 |
|           |               ||           |               || (186,  4) |  4.641, 4.641 |
|           |               ||           |               || (186,  5) |  5.608, 5.608 |
|           |               ||           |               || (187,  4) |  4.641, 4.641 |
|           |               ||           |               || (187,  5) |  5.608, 5.608 |
|           |               ||           |               || (188,  4) |  4.641, 4.641 |
|           |               ||           |               || (188,  5) |  5.608, 5.608 |
|           |               ||           |               || (189,  4) |  4.641, 4.641 |
|           |               ||           |               || (189,  5) |  5.608, 5.608 |
|           |               ||           |               || (190,  4) |  4.641, 4.641 |
|           |               ||           |               || (190,  5) |  5.608, 5.608 |
|           |               ||           |               || (191,  4) |  4.641, 4.641 |
|           |               ||           |               || (191,  5) |  5.608, 5.608 |
|           |               ||           |               || (192,  4) |  4.641, 4.641 |
|           |               ||           |               || (192,  5) |  5.608, 5.608 |
|           |               ||           |               || (193,  4) |  4.641, 4.641 |
|           |               ||           |               || (193,  5) |  5.608, 5.608 |
|           |               ||           |               || (194,  4) |  4.641, 4.641 |
|           |               ||           |               || (194,  5) |  5.608, 5.608 |
|           |               ||           |               || (195,  4) |  4.641, 4.641 |
|           |               ||           |               || (195,  5) |  5.608, 5.608 |
|           |               ||           |               || (196,  4) |  4.641, 4.641 |
|           |               ||           |               || (196,  5) |  5.608, 5.608 |
|           |               ||           |               || (197,  4) |  4.641, 4.641 |
|           |               ||           |               || (197,  5) |  5.608, 5.608 |
|           |               ||           |               || (198,  4) |  4.641, 4.641 |
|           |               ||           |               || (198,  5) |  5.608, 5.608 |
|           |               ||           |               || (199,  4) |  4.641, 4.641 |
|           |               ||           |               || (199,  5) |  5.608, 5.608 |
|           |               ||           |               || (200,  4) |  4.641, 4.641 |
|           |               ||           |               || (200,  5) |  5.608, 5.608 |
|           |               ||           |               || (201,  4) |  4.641, 4.641 |
|           |               ||           |               || (201,  5) |  5.608, 5.608 |
|           |               ||           |               || (202,  4) |  4.641, 4.641 |
|           |               ||           |               || (202,  5) |  5.608, 5.608 |
|           |               ||           |               || (203,  4) |  4.641, 4.641 |
|           |               ||           |               || (203,  5) |  5.608, 5.608 |
|           |               ||           |               || (204,  4) |  4.641, 4.537 |
|           |               ||           |               || (204,  5) |  5.608, 5.509 |
|           |               ||           |               || (205,  4) |  4.745, 4.252 |
|           |               ||           |               || (205,  5) |  5.707, 5.240 |
|           |               ||           |               || (206,  4) |  5.023, 3.961 |
|           |               ||           |               || (206,  5) |  5.970, 4.964 |
|           |               ||           |               || (207,  4) |  5.298, 3.666 |
|           |               ||           |               || (208,  4) |  5.570, 3.365 |
|           |               ||           |               || (209,  4) |  5.838, 3.060 |
|           |               ||           |               || (255,  4) |  5.604, 4.691 |
|           |               ||           |               || (256,  4) |  5.202, 4.949 |
|           |               ||           |               || (257,  4) |  4.949, 4.949 |
|           |               ||           |               || (257,  5) |  5.900, 5.900 |
|           |               ||           |               || (258,  4) |  4.949, 4.949 |
|           |               ||           |               || (258,  5) |  5.900, 5.900 |
|           |               ||           |               || (259,  4) |  4.949, 4.949 |
|           |               ||           |               || (259,  5) |  5.900, 5.900 |

============================================================
z_global (F1, F3)
============================================================
| Point(j,k) | index_z0(j-1) || Point(j,k) | index_z2(j+1) || Point(j,k) | index_z0 && z2  |
---------------------------------------------------------------------------------------------
| (  7,  6) |      5.757652 || (  9,  4) |      5.777001 || (  3,  4) |  4.000, 4.000 |
| (  8,  5) |      4.321953 || ( 51,  4) |      5.777240 || (  3,  5) |  5.000, 5.000 |
| (  8,  6) |      5.359186 || ( 52,  4) |      5.507791 || (  4,  4) |  4.000, 4.000 |
| (  9,  5) |      3.806121 || ( 53,  4) |      5.235285 || (  4,  5) |  5.000, 5.000 |
| (  9,  6) |      4.872605 || ( 54,  4) |      4.959247 || (  5,  4) |  4.000, 4.000 |
| (  9,  7) |      5.935169 || ( 55,  4) |      4.679176 || (  5,  5) |  5.000, 5.000 |
| ( 10,  5) |      3.140493 || (205,  6) |      5.639408 || (  6,  4) |  4.000, 4.267 |
| ( 10,  6) |      4.245941 || (206,  6) |      5.369650 || (  6,  5) |  5.000, 5.253 |
| ( 10,  7) |      5.344959 || (207,  6) |      5.095931 || (  7,  4) |  3.729, 4.690 |
| ( 11,  6) |      3.467932 || (208,  6) |      4.817734 || (  7,  5) |  4.744, 5.653 |
| ( 11,  7) |      4.613949 || (208,  7) |      5.883441 || (  8,  4) |  3.282, 5.182 |
| ( 11,  8) |      5.750756 || (209,  5) |      3.447191 || ( 54,  5) |  3.748, 5.909 |
| ( 12,  7) |      3.729912 || (209,  6) |      4.534512 || ( 55,  5) |  4.043, 5.643 |
| ( 12,  8) |      4.922024 || (209,  7) |      5.616591 || ( 56,  4) |  3.294, 4.395 |
| ( 13,  8) |      3.964719 || (210,  5) |      3.140217 || ( 56,  5) |  4.333, 5.373 |
| ( 13,  9) |      5.206411 || (210,  6) |      4.245681 || ( 57,  4) |  3.597, 4.108 |
| ( 14,  8) |      3.033577 || (210,  7) |      5.344715 || ( 57,  5) |  4.619, 5.102 |
| ( 14,  9) |      4.338842 || (211,  6) |      3.950615 || ( 58,  4) |  3.892, 4.000 |
| ( 14, 10) |      5.622369 || (211,  7) |      5.067243 || ( 58,  5) |  4.897, 5.000 |
| ( 15,  9) |      3.568003 || (212,  6) |      3.648641 || ( 58,  6) |  5.903, 6.000 |
| ( 15, 10) |      4.905600 || (212,  7) |      4.783566 || ( 59,  4) |  4.000, 4.000 |
| ( 16, 10) |      4.292561 || (212,  8) |      5.910058 || ( 59,  5) |  5.000, 5.000 |
| ( 16, 11) |      5.649293 || (213,  6) |      3.339032 || ( 59,  6) |  6.000, 6.000 |
| ( 17, 10) |      3.791846 || (213,  7) |      4.493026 || ( 60,  4) |  4.000, 4.000 |
| ( 17, 11) |      5.185361 || (213,  8) |      5.637245 || ( 60,  5) |  5.000, 5.000 |
| ( 18, 10) |      3.407944 || (214,  6) |      3.021000 || ( 60,  6) |  6.000, 6.000 |
| ( 18, 11) |      4.830328 || (214,  7) |      4.194914 || ( 61,  4) |  4.000, 4.000 |
| ( 19, 10) |      3.133723 || (214,  8) |      5.357610 || ( 61,  5) |  5.000, 5.000 |
| ( 19, 11) |      4.577090 || (215,  7) |      3.888458 || ( 61,  6) |  6.000, 6.000 |
| ( 19, 12) |      5.985802 || (215,  8) |      5.070458 || ( 62,  4) |  4.000, 4.000 |
| ( 20, 11) |      4.420969 || (216,  7) |      3.572818 || ( 62,  5) |  5.000, 5.000 |
| ( 20, 12) |      5.841459 || (216,  8) |      4.775034 || ( 62,  6) |  6.000, 6.000 |
